player,pos,age,tm,g,gs,mp,fg,fga,fgpercent,x3p,x3pa,x3ppercent,x2p,x2pa,x2ppercent,ft,fta,ftpercent,orb,drb,trb,ast,stl,blk,tov,pf,pts,ortg,drtg,ts,od,div
Scottie Barnes,PF,20,TOR,74,74,2617,8.8,17.8,0.492,1.1,3.7,0.301,7.7,14.1,0.543,3,4.1,0.735,3.7,6.9,10.6,4.9,1.5,1.1,2.6,3.7,21.7,116,111,0.5534584778616609,1.045045045045045,A
RJ Barrett,SF,21,NYK,70,70,2417,10.1,24.7,0.408,2.9,8.4,0.342,7.2,16.4,0.442,6,8.4,0.714,1.4,7.1,8.4,4.3,0.9,0.3,3.1,2.9,29,103,113,0.510635300746584,0.911504424778761,A
Will Barton,SG,31,DEN,71,71,2277,8.4,19.3,0.438,3.4,9.3,0.365,5.1,10,0.504,2.2,2.7,0.803,0.9,6.4,7.3,5.9,1.2,0.7,2.7,2.5,22.5,108,114,0.5491019133151113,0.9473684210526315,NW
Keita Bates-Diop,SF,26,SAS,59,14,956,6.8,13.2,0.517,0.9,2.8,0.309,6,10.4,0.572,2.3,3.1,0.754,3.1,8.5,11.6,2.1,1.4,0.7,2.3,3.1,16.8,111,112,0.5767646251029938,0.9910714285714286,SW
Nicolas Batum,PF,33,LAC,59,54,1462,6,13,0.463,3.6,9,0.4,2.4,3.9,0.607,0.8,1.3,0.658,1,7.5,8.5,3.4,1.9,1.4,1.3,2.7,16.5,118,109,0.607869142351901,1.0825688073394495,P
Darius Bazley,PF,21,OKC,69,53,1924,6.9,16.4,0.422,2,6.8,0.297,4.9,9.6,0.511,3,4.3,0.688,1.8,9.2,11,2.5,1.5,1.8,2.3,1.7,18.9,101,111,0.5166192871200525,0.9099099099099099,NW
Malik Beasley,SG,25,MIN,79,18,1976,8,20.5,0.391,5.8,15.3,0.377,2.2,5.1,0.432,1.2,1.4,0.817,0.6,4.8,5.5,2.8,1,0.3,1,2.1,22.9,111,116,0.5422428490244364,0.9568965517241379,NW
DeAndre' Bembry,SF,27,TOT,56,20,1026,5.9,10.4,0.561,0.7,1.7,0.417,5.1,8.7,0.589,1,1.7,0.6,2,5.7,7.7,3.1,2.3,1.2,1.5,5.3,13.4,119,112,0.6010046645138142,1.0625,NA
DeAndre' Bembry,SF,27,BRK,48,20,949,6.2,10.9,0.568,0.8,1.8,0.417,5.4,9,0.599,1.1,1.8,0.6,1.9,5.8,7.8,3.1,2.4,1.3,1.5,5.3,14.2,120,111,0.6072528224426958,1.0810810810810811,A
Dāvis Bertāns,PF,29,TOT,56,0,807,6.1,17,0.36,4.8,14.2,0.335,1.4,2.8,0.489,2.2,2.5,0.9,0.7,6.5,7.2,1.9,1,0.7,1.2,5.2,19.2,106,114,0.5303867403314917,0.9298245614035088,NA
Patrick Beverley,PG,33,MIN,58,54,1476,5.7,14.1,0.406,2.7,7.8,0.343,3,6.3,0.485,3.1,4.3,0.722,2,5.7,7.7,8.6,2.2,1.7,2.4,5.6,17.2,119,111,0.5377688844422212,1.072072072072072,NW
Saddiq Bey,SF,22,DET,82,82,2704,8.1,20.5,0.396,3.8,11,0.346,4.3,9.5,0.454,3.8,4.6,0.827,1.9,6,8,4.2,1.3,0.3,1.7,2.3,23.8,110,116,0.5283253418575742,0.9482758620689655,C
Khem Birch,C,29,TOR,55,28,991,4.9,10.1,0.485,0,0.7,0,4.9,9.4,0.522,2.7,3.6,0.746,6.2,5.9,12.1,2.8,1.5,1.3,1.5,5.2,12.5,124,111,0.5349195480999658,1.117117117117117,A
Goga Bitadze,C,22,IND,50,16,729,8.8,16.9,0.52,1.5,5.4,0.288,7.3,11.6,0.628,4.3,6.3,0.681,5.3,6.6,11.9,3.7,1.4,2.8,3.1,7.2,23.4,118,114,0.5947539650264335,1.0350877192982457,C
Nemanja Bjelica,C,33,GSW,71,0,1142,6.8,14.6,0.468,2.3,6.4,0.362,4.5,8.2,0.549,2.5,3.5,0.728,2.6,9.9,12.6,6.8,1.8,1.1,3.7,5.5,18.5,111,105,0.5731102850061958,1.0571428571428572,P
Eric Bledsoe,PG,32,LAC,54,29,1361,7.1,16.8,0.421,1.8,5.9,0.313,5.3,11,0.479,3.2,4.2,0.761,1,5.5,6.6,8.1,2.5,0.7,4.2,3.1,19.2,100,110,0.5148005148005148,0.9090909090909091,P
Bogdan Bogdanović,SG,29,ATL,63,27,1848,9.1,21.1,0.431,4.5,12.2,0.368,4.6,8.9,0.516,2.6,3.1,0.843,0.8,5.9,6.6,5.2,1.8,0.4,1.9,3.5,25.3,114,116,0.5631232193732193,0.9827586206896551,SE
Bojan Bogdanović,PF,32,UTA,69,69,2131,9.8,21.5,0.455,4.2,10.9,0.387,5.6,10.7,0.524,5.2,6,0.858,1.3,5.5,6.9,2.8,0.8,0,2.7,2.7,28.9,116,115,0.5985915492957746,1.008695652173913,NW
Devin Booker,SG,25,PHO,68,68,2345,13.6,29.2,0.466,3.8,9.8,0.383,9.8,19.4,0.508,6.5,7.4,0.868,0.9,6.1,7,6.8,1.6,0.5,3.3,3.7,37.4,113,109,0.5761646536849888,1.036697247706422,NA
Brandon Boston Jr.,SG,20,LAC,51,0,760,8.1,21,0.385,2.2,7.2,0.306,5.9,13.8,0.425,3.8,4.6,0.819,1.1,6.1,7.2,3.3,1.7,0.8,2,2.8,22.1,98,111,0.4799339819318972,0.8828828828828829,P
Chris Boucher,SF,29,TOR,80,9,1690,7.9,17.1,0.464,2,6.8,0.297,5.9,10.3,0.575,4.4,5.7,0.777,5.3,9.3,14.6,0.7,1.4,2.2,1.2,5.1,22.3,124,108,0.5686454508363933,1.1481481481481481,A
Avery Bradley,SG,31,LAL,62,45,1406,5,11.9,0.423,2.8,7.2,0.39,2.3,4.8,0.471,0.5,0.6,0.889,1.1,3.6,4.6,1.6,1.8,0.3,1.3,4,13.4,106,116,0.5508056560341993,0.9137931034482759,P
Tony Bradley,C,24,CHI,55,7,549,6.4,10.9,0.585,0,0,NA,6.4,10.9,0.585,1.7,2.6,0.655,6,10.6,16.5,2.4,0.9,2.9,3,5.5,14.5,115,110,0.601959481899701,1.0454545454545454,C
Ignas Brazdeikis,SF,23,ORL,42,1,536,7.3,17,0.431,2.4,7.9,0.31,4.9,9.1,0.535,1.9,2.9,0.656,2.1,4.4,6.5,3.3,0.9,0.3,1.5,4.3,19,106,116,0.5198073976800175,0.9137931034482759,SE
Mikal Bridges,SF,25,PHO,82,82,2854,7.7,14.5,0.534,1.9,5.3,0.369,5.8,9.2,0.628,2.2,2.6,0.834,1.2,4.6,5.9,3.1,1.6,0.6,1.1,2.5,19.6,125,110,0.6264382510866786,1.1363636363636365,NA
Miles Bridges,PF,23,CHO,80,80,2837,10.1,20.5,0.491,2.6,7.9,0.331,7.5,12.7,0.59,4.5,5.6,0.802,1.5,7.9,9.5,5.1,1.3,1.1,2.5,3.3,27.3,117,114,0.5944086396098242,1.0263157894736843,SE
Oshae Brissett,SF,23,IND,67,25,1564,6.5,15.8,0.411,2.6,7.4,0.35,3.9,8.4,0.465,3.6,5.1,0.695,3.4,7.8,11.2,2.3,1.4,0.9,1.7,3.6,19.2,112,116,0.5320328086898691,0.9655172413793104,C
Armoni Brooks,SG-PG,23,TOT,54,11,844,5.6,16.4,0.339,4.2,14.2,0.297,1.4,2.3,0.6,1,1.2,0.857,1.1,4.7,5.9,3.5,1.6,0.6,1.5,4.2,16.4,101,117,0.4844045368620038,0.8632478632478633,NA
Bruce Brown,SF,25,BRK,72,45,1774,7,13.8,0.506,1,2.6,0.404,6,11.3,0.529,2.7,3.5,0.758,2.7,6.7,9.4,4,2.1,1.4,1.5,4.8,17.7,121,111,0.5769230769230769,1.09009009009009,A
Greg Brown III,SF,20,POR,48,6,640,6.2,14.5,0.426,1.5,4.7,0.311,4.7,9.8,0.481,3.4,5,0.677,2.9,7.4,10.3,2.7,2,1.8,2.7,6.9,17.2,102,114,0.5149700598802395,0.8947368421052632,NW
Jaylen Brown,SF,25,BOS,66,66,2220,12.9,27.2,0.473,3.7,10.4,0.358,9.2,16.9,0.544,5.4,7.1,0.758,1.2,7.9,9,5.2,1.6,0.4,4,3.6,34.9,109,108,0.5754517873631447,1.0092592592592593,A
Sterling Brown,SG,26,DAL,49,3,628,4.7,12.4,0.381,2.2,7.4,0.304,2.5,5,0.492,1.1,1.2,0.933,2.1,9.9,11.9,2.7,1.1,0.6,1.8,4.5,12.8,102,109,0.49504950495049505,0.9357798165137615,SW
Troy Brown Jr.,SF,22,CHI,66,7,1055,5,11.9,0.419,2.2,6.2,0.353,2.8,5.8,0.488,0.9,1.2,0.769,1.8,7.6,9.4,3.1,1.7,0.2,1.2,2.9,13.1,110,114,0.5270357257804956,0.9649122807017544,C
Jalen Brunson,SG,25,DAL,79,61,2524,10.1,20.1,0.502,1.9,5,0.373,8.2,15.1,0.545,3.6,4.2,0.84,0.9,5.3,6.2,7.5,1.3,0.1,2.5,3,25.6,118,112,0.5831966466192819,1.0535714285714286,SW
Reggie Bullock,SF,30,DAL,68,37,1902,5.3,13.3,0.401,3.7,10.4,0.36,1.6,2.9,0.55,1.1,1.3,0.833,0.9,5.5,6.4,2.2,1.1,0.4,1.1,2.9,15.4,111,112,0.5550749711649365,0.9910714285714286,SW
Trey Burke,PG,29,DAL,42,0,441,9.6,24.5,0.391,3,9.4,0.317,6.6,15.2,0.436,2.3,2.6,0.87,0.5,3.3,3.8,6.5,1.4,0,3,4.5,24.4,97,113,0.47574481360162224,0.8584070796460177,SW
Alec Burks,SG,30,NYK,81,44,2318,6.2,15.7,0.391,3.4,8.4,0.404,2.8,7.3,0.378,4.7,5.7,0.822,1,7.6,8.6,5.2,1.8,0.6,2,4.6,20.4,117,110,0.5601933216168717,1.0636363636363637,A
Jared Butler,SG,21,UTA,42,1,360,8.4,20.7,0.404,3.8,12.1,0.318,4.5,8.6,0.524,1.5,2.2,0.688,0.7,5.5,6.2,8.6,2.3,1.1,4.5,6.5,22.1,102,109,0.5099686173158575,0.9357798165137615,NW
