"","player","pos","age","tm","g","gs","mp","fg","fga","fgpercent","x3p","x3pa","x3ppercent","x2p","x2pa","x2ppercent","ft","fta","ftpercent","orb","drb","trb","ast","stl","blk","tov","pf","pts","ortg","drtg","ts","od","div"
"236","Raul Neto","PG",29,"WAS",70,19,1372,7.4,15.9,0.463,1.3,4.3,0.292,6.1,11.6,0.526,3,3.9,0.769,0.5,4.4,4.8,7.8,2,0.1,2.8,3.7,19,108,116,0.539282470481381,0.931034482758621,"SE"
"237","Georges Niang","PF",28,"PHI",76,7,1736,7.1,16.2,0.437,4.5,11.1,0.403,2.6,5.1,0.511,1.5,1.7,0.881,0.7,5.1,5.8,2.9,0.9,0.4,1.7,5.5,20.1,113,115,0.592990323341987,0.982608695652174,"A"
"238","Jaylen Nowell","SG",22,"MIN",62,1,975,9.6,20.2,0.475,3.1,7.8,0.394,6.5,12.3,0.526,3.5,4.5,0.783,1.1,4.9,6,6.3,1.3,0.5,1.8,3.6,25.7,121,115,0.579350766456267,1.05217391304348,"NW"
"239","Frank Ntilikina","SG",23,"DAL",58,5,685,6.5,16.4,0.399,2.8,8.2,0.342,3.7,8.2,0.455,1.8,1.8,0.96,0.9,4.9,5.8,5.1,2,0.5,2.3,4.5,17.6,104,110,0.511865984178688,0.945454545454545,"SW"
"240","Jusuf Nurkić","C",27,"POR",56,56,1579,9.9,18.6,0.535,0.5,1.7,0.268,9.5,16.8,0.563,5.7,8.3,0.69,5.2,14,19.2,4.9,1.9,1.1,4.4,5.8,26.1,112,112,0.586464138055006,1,"NW"
"241","David Nwaba","SF",29,"HOU",46,4,609,6.6,13.8,0.483,1.2,3.8,0.306,5.5,9.9,0.551,3.8,5.2,0.716,3.2,8.6,11.8,2.7,2.2,1.6,1.6,4.3,18.2,117,113,0.565638985579314,1.0353982300885,"SW"
"242","Jordan Nwora","SF",23,"MIL",62,13,1185,7.5,18.7,0.403,3.2,9.2,0.348,4.3,9.5,0.455,1.5,1.7,0.837,1.5,7.5,9,2.4,1,0.7,2.3,3.2,19.7,100,113,0.506478815302345,0.884955752212389,"C"
"243","Royce O'Neale","SF",28,"UTA",77,77,2406,4.2,9.1,0.457,2.4,6.3,0.389,1.7,2.8,0.609,0.9,1.2,0.804,1.3,6.2,7.6,3.9,1.8,0.7,1.6,3.8,11.7,122,111,0.607602825093477,1.0990990990991,"NW"
"244","Chuma Okeke","PF",23,"ORL",70,20,1749,6,15.9,0.376,3.3,10.3,0.318,2.7,5.6,0.48,1.5,1.8,0.846,1.3,8.3,9.6,3.3,2.7,1.2,1.6,2.6,16.7,101,109,0.500239635753654,0.926605504587156,"SE"
"245","Josh Okogie","SG",23,"MIN",49,6,516,3.9,9.6,0.404,1.3,4.3,0.298,2.6,5.3,0.491,3.2,4.7,0.686,2.7,3.8,6.5,2.3,2.4,1.1,2.1,4.9,12.3,107,112,0.527082619129242,0.955357142857143,"NW"
"246","Onyeka Okongwu","C",21,"ATL",48,6,992,7.7,11.2,0.69,0,0,NA,7.7,11.2,0.69,4,5.4,0.727,5.7,8.3,14,2.6,1.5,3,2.2,7.4,19.4,138,111,0.714496169711255,1.24324324324324,"SE"
"247","Isaac Okoro","SF",21,"CLE",67,61,1981,5.2,10.9,0.48,1.4,4,0.35,3.8,6.9,0.555,3,3.9,0.768,1.8,3.3,5.1,3.1,1.4,0.6,1.5,4.1,14.8,120,113,0.586556753329106,1.06194690265487,"C"
"248","Cedi Osman","SF",26,"CLE",66,3,1462,8.4,19.5,0.432,4.4,12.3,0.357,4.1,7.3,0.559,3,4.5,0.664,0.9,4.1,5,4.6,1.8,0.3,2.3,4.3,24.2,111,112,0.563314711359404,0.991071428571429,"C"
"249","Kelly Oubre Jr.","SF",26,"CHO",76,13,1999,9.8,22.4,0.44,4.6,13.3,0.345,5.3,9.1,0.578,3,4.5,0.667,1.9,5.4,7.2,2,1.8,0.7,1.6,4.5,27.3,111,115,0.559885151763741,0.965217391304348,"SE"
"250","Eric Paschall","PF",25,"UTA",58,3,736,7.7,15.8,0.485,2.7,7.3,0.37,5,8.5,0.583,4.4,5.8,0.767,2,5.1,7.1,2.4,0.6,0.3,1.8,3.4,22.4,123,115,0.610287707061901,1.0695652173913,"NW"
"251","Chris Paul","PG",36,"PHO",65,65,2139,8.2,16.6,0.493,1.4,4.5,0.317,6.7,12.1,0.559,3.8,4.5,0.837,0.5,5.9,6.4,15.8,2.7,0.4,3.4,3,21.6,124,107,0.581270182992465,1.1588785046729,NA
"252","Cameron Payne","PG",27,"PHO",58,12,1278,9,22.1,0.409,2.7,7.9,0.336,6.4,14.2,0.449,2.8,3.4,0.843,0.9,5.7,6.6,10.6,1.5,0.6,3.9,4.5,23.6,104,109,0.500084760128835,0.954128440366972,NA
"253","Elfrid Payton","PG",27,"PHO",50,1,549,5.9,15.3,0.383,0.4,1.6,0.222,5.5,13.8,0.401,1.1,2.8,0.375,1.8,5.9,7.7,8.7,2.2,0.5,4.1,3.3,13.1,87,108,0.39620130655698,0.805555555555556,NA
"254","Gary Payton II","SG",29,"GSW",71,16,1247,8.3,13.5,0.616,1.7,4.7,0.358,6.6,8.8,0.754,1.4,2.3,0.603,2.8,6.8,9.7,2.5,3.8,0.9,1.6,5.1,19.6,129,103,0.675303197353914,1.25242718446602,"P"
"255","Mason Plumlee","C",31,"CHO",73,73,1793,5.5,8.6,0.641,0,0.1,0,5.5,8.5,0.645,1.8,4.6,0.392,4.7,10.4,15.1,6,1.6,1.4,2.7,6,12.8,122,111,0.602409638554217,1.0990990990991,"SE"
"256","Jakob Poeltl","C",26,"SAS",68,67,1970,10,16.1,0.618,0,0,1,10,16.1,0.618,2.3,4.6,0.495,6.4,9.1,15.4,4.6,1.1,2.9,2.7,5.2,22.3,123,110,0.615206356212757,1.11818181818182,"SW"
"257","Aleksej Pokusevski","PF",20,"OKC",61,12,1233,7.3,18,0.408,2.3,7.8,0.289,5.1,10.2,0.498,1.4,2,0.7,2.9,9.7,12.6,5.2,1.5,1.5,3.7,3.5,18.3,96,111,0.484639830508475,0.864864864864865,"NW"
"258","Jordan Poole","SG",22,"GSW",76,51,2283,10.1,22.6,0.448,4.5,12.4,0.364,5.6,10.2,0.55,5.3,5.7,0.925,0.7,4.8,5.6,6.5,1.3,0.5,4,4.4,30,112,110,0.597419149275131,1.01818181818182,"P"
"259","Kevin Porter Jr.","PG",21,"HOU",61,61,1907,8.4,20.2,0.415,3.9,10.3,0.375,4.5,9.9,0.456,3.1,4.8,0.642,1.1,5.6,6.7,9.4,1.7,0.5,4.8,3.9,23.7,103,117,0.531104338472571,0.88034188034188,"SW"
"260","Otto Porter Jr.","PF",28,"GSW",63,15,1396,6.7,14.5,0.464,2.8,7.5,0.37,3.9,7,0.565,1.7,2.1,0.803,3,9.6,12.6,3.3,2.4,1,1.3,2.9,18,121,104,0.58350622406639,1.16346153846154,"P"
"261","Bobby Portis","C",26,"MIL",72,59,2028,9.9,20.6,0.479,3.1,8,0.393,6.7,12.6,0.533,2,2.7,0.752,4.3,11.3,15.6,2,1.3,1.2,2.1,4.1,24.9,115,110,0.571415458050303,1.04545454545455,"C"
"262","Kristaps Porziņģis","PF",26,"TOT",51,51,1481,11.9,25.9,0.459,2.6,8.5,0.31,9.3,17.4,0.532,8.4,9.7,0.867,3.4,10.4,13.9,4,1.3,2.8,2.7,4.6,34.8,116,107,0.576770087509944,1.08411214953271,NA
"263","Dwight Powell","C",30,"DAL",82,71,1798,7.5,11.2,0.671,0.4,1,0.351,7.2,10.2,0.703,4.6,5.9,0.783,4.8,6.5,11.3,2.7,1,1.1,1.8,6.2,20.1,142,110,0.728472020875616,1.29090909090909,"SW"
"264","Norman Powell","SF",28,"TOT",45,41,1458,9.4,20.3,0.461,3.6,8.5,0.419,5.8,11.8,0.491,6.3,7.8,0.811,0.7,4.2,4.9,3.2,1.4,0.7,2.3,3.6,28.6,116,119,0.602561941682117,0.974789915966386,NA
"265","Joshua Primo","SF",19,"SAS",50,16,965,5,13.4,0.374,2.1,6.8,0.307,2.9,6.6,0.444,2.2,2.9,0.746,1.6,4,5.6,4,1,1.1,2.8,3.9,14.3,96,115,0.487189970019079,0.834782608695652,"SW"
"266","Taurean Prince","PF",27,"MIN",69,8,1177,7.2,15.8,0.454,3.5,9.3,0.376,3.7,6.5,0.565,2.5,3.3,0.756,1.1,6,7,2.7,1.9,0.9,2.1,4.7,20.3,112,112,0.588337584048226,1,"NW"
"267","Payton Pritchard","PG",24,"BOS",71,2,1001,7.9,18.5,0.429,5,12.2,0.412,2.9,6.4,0.461,1,1,1,1.6,5.1,6.7,6.9,1.2,0.3,2,3,21.9,120,110,0.578141499472017,1.09090909090909,"A"
"268","Immanuel Quickley","PG",22,"NYK",78,3,1802,7.9,20.1,0.392,3.8,11,0.346,4.1,9.1,0.448,4.9,5.6,0.881,0.9,6,6.9,7.6,1.5,0.1,2.7,4.6,24.5,114,112,0.542900195000886,1.01785714285714,"A"
"269","Julius Randle","PF",27,"NYK",72,72,2544,10.1,24.5,0.411,2.4,7.7,0.308,7.7,16.8,0.458,6,7.9,0.756,2.5,11.6,14.1,7.3,1,0.8,4.8,4,28.5,102,109,0.509365170145839,0.935779816513762,"A"
